country,crop,year,actual_yield,predicted_yield,best_params
Afghanistan,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Albania,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Algeria,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Andorra,"Abaca, manila hemp, raw",2022,Unknown,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Angola,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Argentina,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Armenia,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Australia,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Austria,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Azerbaijan,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Bangladesh,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Belarus,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Belgium,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Belize,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Benin,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Bhutan,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Bolivia (Plurinational State of),"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Bosnia and Herzegovina,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Botswana,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Brazil,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Brunei Darussalam,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Bulgaria,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Burkina Faso,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Burundi,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Cambodia,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Cameroon,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Canada,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Central African Republic,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Chad,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Chile,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
China,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
"China, Taiwan Province of","Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Colombia,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Congo [Republic],"Abaca, manila hemp, raw",2022,Unknown,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Costa Rica,"Abaca, manila hemp, raw",2022,1164.4,1213.2314447704468,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Croatia,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Cuba,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Czechia,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Côte d'Ivoire,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Democratic People's Republic of Korea,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
DemocraticRepublic of the Congo,"Abaca, manila hemp, raw",2022,Unknown,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Denmark,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Djibouti,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Dominican Republic,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Ecuador,"Abaca, manila hemp, raw",2022,1305.8,1434.3370999283566,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Egypt,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
El Salvador,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Equatorial Guinea,"Abaca, manila hemp, raw",2022,132.1,222.46549492493213,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Eritrea,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Estonia,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Eswatini,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Ethiopia,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Finland,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
France,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
French Guiana,"Abaca, manila hemp, raw",2022,Unknown,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
Gabon,"Abaca, manila hemp, raw",2022,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}"
